Institution,Course Title,Link,Upcoming Date,Duration,Training Mode,Full Fee,Funded Fee,About This Course,What You'll Learn,Minimum Entry Requirement,Type,Job Title,Company,Location,Employment Type,Salary,Job Description
,,https://www.mycareersfuture.gov.sg/job/admin/admin-itcan-cf09f121e446929b794b8e5ba58ff5f2?source=MCF&event=Search,,,,,,,,,Jobs,IT Admin,ITCAN PTE. LIMITED,Central,Full Time,"$2,500 to to$3,500","Roles & Responsibilities
1. End-User IT Resources
2. Monitoring of the desktops/laptops leasing schedule for various subscriptions;
3. Tracking of IT Equipment due for technology refresh;
4. Tracking of IT Equipment for incoming/outgoing officers;
5. Monitor and coordinate the deployment/collection of IT Equipment for incoming/outgoing officers;
6. Monitor leasing billing and verification.

1. WOG Services Administrative Support
2. Raising of Service Requests;
3. Monitor leasing billing and verification;
4. Monitor the software packaging and deployment status.

1. IT Asset Management
2. Manage the Configuration Management Database (CMDB);
3. Receipt of assets delivered;
4. Handover of assets to AFM for IT Resource provisioning;
5. Monitor the utilisation of hardware/software/licences;
6. Assist in assets disposal;
7. Asset Tagging.

1. General Support
2. Preparation, sending and uploading of advisories/announcements;
3. Administration of mailbox (handling of standard queries e.g. about tech refresh, printer, token replacement, etc);
4. Sourcing for small value purchase peripherals;
5. Testing of IT Services;
6. Physical Keys management;
7. Any other Ad-hoc duties when required.

1. Mobile Devices Support
2. Preparation of Mobile Devices;
3. GoMAX provisioning;
4. Apple/Google accounts creation;
5. GoMAX forms filling and submission;
6. Mobile OS upgrade and Software Installation/Uninstallation;
7. Monitor the various services billing and verification."
,,https://www.mycareersfuture.gov.sg/job/banking-finance/perm-bank-operations-associate-bts-recruit-express-92734b84a100034a8fd7a3c8b7cf78b3?source=MCF&event=Search,,,,,,,,,Jobs,"Perm Bank Operations Associate (Up to $3,500) #BTS",RECRUIT EXPRESS PTE LTD,Central,Contract,"$3,000 to to$3,500","Roles & Responsibilities
Responsibilities
Responsible for asset transfer for all foreign and local markets, process and its inherent risks, and serves as the point of escalation for the team
Processing of scripless conversion request and share transfers
Respond to clients, trade representatives and relevant stakeholders’ queries
Liaise with counterparties and Custodians
Comply with all procedures and ensure proper documentation
Evaluate and streamline existing processes to ensure efficiency and adequate controls
Collate Proxy instructions and prepare the forms for submission to relevant authorities
Physical share certificates deposition for both foreign and SG markets
Assist with other ad-hoc duties as assigned
Requirements
Diploma/Degree in relevant disciplines
Proficient in MS Office

Interested applicants please email your resume to meganng@recruitexpress.com.sg
Megan Ng Su Ting
CEI Registration No.: R23115059
Recruit Express Pte Ltd
EA Licence No: 99C4599

*** We regret that only shortlisted candidates will be contacted."
,,https://www.mycareersfuture.gov.sg/job/logistics/shipping-executive-kyocera-document-solutions-singapore-d9e98ce498f91d41fd61e212810e254f?source=MCF&event=Search,,,,,,,,,Jobs,Shipping Executive,KYOCERA DOCUMENT SOLUTIONS SINGAPORE PTE. LTD.,Central,Contract ...,"$2,700 to to$3,200","Roles & Responsibilities
· Prepare and coordinate all export orders given by KDAS (Regional HQ).
· Process of shipments and all related activities timely.
· Liaise with overseas agents and warehouse on shipments arrangement.
· Ensure timely processing of the orders 2 days before deadline and accurate preparation of shipping documents.
· Liaise with customer’s orders and follow up on customer’s payment and shipments documentation.
· E-filing documents to share folder.
· Attend to any other ad-hoc duties or any related tasks that are assigned."
,,https://www.mycareersfuture.gov.sg/job/information-technology/admin-urgent-hiring-itcan-8fa5fd6feb9e1a65749c2f1c9c22557f?source=MCF&event=Search,,,,,,,,,Jobs,IT ADMIN- URGENT HIRING,ITCAN PTE. LIMITED,Central,Contract ...,"$2,600 to to$3,500","Roles & Responsibilities
Job Description & Requirements
1. Assist in the planning and coordination of project activities, including scheduling meetings, preparing agendas, PowerPoint presentation and documenting minutes.
2. Coordinate with internal and external stakeholders, to ensure timely delivery of project deliverables and resolve any issues or conflicts that may arise.
3. Monitor project progress and identify potential risks or deviations from the plan, escalating to Service Delivery Manager (SDM), Project Director (PD) any necessary requirement from customers.
4. Plan, track and monitor the tasks assigned to the managers, team leaders and members
5. Clear and open communication with customers on operations and project issues or clarifications.
6. Assist in creating of PowerPoint presentation and Excel documents.
7. Provide administrative support as needed, such as managing project-related correspondence and other ad-hoc duties."
,,https://www.mycareersfuture.gov.sg/job/logistics/procurement-assistant-up-3k-5-days-west-coast-recruit-now-singapore-7ad447ccae9887ec2ad583708ab43538?source=MCF&event=Search,,,,,,,,,Jobs,Procurement Assistant [Up to 3k |5 days| West Coast],RECRUIT NOW SINGAPORE PTE. LTD.,North,Full Time,"$2,500 to to$3,000","Roles & Responsibilities
Remuneration: $2,500 - $3,000
Working Hours: Mon - Fri, 8:30am - 5:30pm

Job Description:
Issuing, sending of PO via email and keep track of PO for procurement activities.
Liaising with store to monitor stock inventories required by Operations Unit is in place to avoid any potential material shortage
Liaising with open lines of communication and collaboration, manufacturing teams can ensure plant requirements are met efficiently and production runs smoothly.
Maintain an updated list of current and incoming inventory
Liaising/correspondence with suppliers to schedule deliveries or to discuss shortages or missed deliveries
Continuously sourcing of parts/materials as and when required
Performing Goods received and updating of system
Maintain records of purchases, pricing, and other necessary data
Coordinating with forwarder for preparing of documents/permit for incoming shipment clearance
Continuously liaising with Sales and other departments for their new requirement of material/parts
To negotiable and obtain best price quotes from suppliers based on various Purchase Requisition request within the company
Deals with defective goods damaged goods as and when required
Performing monthly stock take
Any other ad hoc jobs assigned

Job Requirements:
Minimum 1 years of working experience in procurement
Management skill and ability
Good command of English both verbal and written to liaise with vendors and clients
Computer literate

Daniel Wilson | Reg No.: R24125247
Recruit Now Singapore Pte Ltd | EA Licence No.: 21C0845"
,,https://www.mycareersfuture.gov.sg/job/admin/admin-executive-itcan-4b2580e0f4cd1408eec64b3991f87887?source=MCF&event=Search,,,,,,,,,Jobs,Admin Executive,ITCAN PTE. LIMITED,Central,Full Time,"$2,600 to to$3,500","Roles & Responsibilities
1. Assist in the planning and coordination of project activities, including scheduling meetings, preparing agendas, PowerPoint presentation and documenting minutes.
2. Coordinate with internal and external stakeholders, to ensure timely delivery of project deliverables and resolve any issues or conflicts that may arise.
3. Monitor project progress and identify potential risks or deviations from the plan, escalating to Service Delivery Manager (SDM), Project Director (PD) any necessary requirement from customers.
4. Plan, track and monitor the tasks assigned to the managers, team leaders and members
5. Clear and open communication with customers on operations and project issues or clarifications.
6. Assist in creating of PowerPoint presentation and Excel documents.
7. Provide administrative support as needed, such as managing project-related correspondence and other ad-hoc duties."
,,https://www.mycareersfuture.gov.sg/job/customer-service/%F0%9F%8E%A4karaoke-service-crew-3000-islandwide-6-days-ct-recruit-now-singapore-177ef91c4637cce934556da590dd1ea4?source=MCF&event=Search,,,,,,,,,Jobs,🎤Karaoke Service Crew | Up to $3000 | Islandwide | 6 Days | CT,RECRUIT NOW SINGAPORE PTE. LTD.,Islandwide,Permanent ...,"$1,800 to to$3,000","Roles & Responsibilities
Company benefits:
· $100 monthly transport
· $5 Meal Allowances/working day
· Night Shift Allowances Up to $400/month (Depending on outlet)
· Quarterly Bonus
· Referral Bonus
· Medical and Dental Benefits
· Birthday Ang Pao
· Company Transport

Salary Package:
Basic Salary: $1800 - $2170 (Depending of working experience)

Working Locations & Hours:
· Yishun (6.30pm to 3.30am)
· Downtown East (4pm to 1.30am/ 2am)
· Pasir Ris Mal (4pm to 1.30am/ 2am)
· Chinatown (4pm to 1.30am/2am)
· Orchard (9pm to 7am)
· Cineleisure (6.30pm to 3.30am)

Key Responsibilities:
· Manage reservations, phone inquiries, and greet guests.
· Take and serve orders, ensuring accurate POS input.
· Assist with karaoke system tech support.
· Handle alcoholic beverages confidently.
· Perform additional duties as needed.

Requirements:
· Min. 1 -2 years of working experience in the F&B field or service line for senior level.
· Min. GCE ‘N’ level or equivalent certification
· Able to commit on weekends and PH

*Able to start work within short notice will be highly advantageous.*
**Please be notified that only shortlisted candidates will be notified**

By submitting your personal data and/or resume, you give consent to the collection, use, and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

EA Personnel Name: TOH SHIQI
EA Personnel No: R23119083
EA License No: 21C0845"
,,https://www.mycareersfuture.gov.sg/job/customer-service/%F0%9F%8E%A4karaoke-service-crew-3000-islandwide-6-days-ct-recruit-now-singapore-379e9c0c2ce54d70bf4926f1150e2cb9?source=MCF&event=Search,,,,,,,,,Jobs,🎤Karaoke Service Crew | Up to $3000 | Islandwide | 6 Days | CT,RECRUIT NOW SINGAPORE PTE. LTD.,Islandwide,Permanent ...,"$1,800 to to$3,000","Roles & Responsibilities
Company benefits:
· $100 monthly transport
· $5 Meal Allowances/working day
· Night Shift Allowances Up to $400/month (Depending on outlet)
· Quarterly Bonus
· Referral Bonus
· Medical and Dental Benefits
· Birthday Ang Pao
· Company Transport

Salary Package:
Basic Salary: $1800 - $2170 (Depending of working experience)

Working Locations & Hours:
· Yishun (6.30pm to 3.30am)
· Downtown East (4pm to 1.30am/ 2am)
· Pasir Ris Mal (4pm to 1.30am/ 2am)
· Chinatown (4pm to 1.30am/2am)
· Orchard (9pm to 7am)
· Cineleisure (6.30pm to 3.30am)

Key Responsibilities:
· Manage reservations, phone inquiries, and greet guests.
· Take and serve orders, ensuring accurate POS input.
· Assist with karaoke system tech support.
· Handle alcoholic beverages confidently.
· Perform additional duties as needed.

Requirements:
· Min. 1 -2 years of working experience in the F&B field or service line for senior level.
· Min. GCE ‘N’ level or equivalent certification
· Able to commit on weekends and PH

*Able to start work within short notice will be highly advantageous.*
**Please be notified that only shortlisted candidates will be notified**

By submitting your personal data and/or resume, you give consent to the collection, use, and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

EA Personnel Name: TOH SHIQI
EA Personnel No: R23119083
EA License No: 21C0845"
,,https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-sgunitedjobs-innovative-tool-technology-959fb5bc23a4c2ac4b97c50567431cdf?source=MCF&event=Search,,,,,,,,,Jobs,Software Engineer #SGUnitedJobs,INNOVATIVE TOOL TECHNOLOGY PTE. LTD.,North,Full Time,"$2,300 to to$3,000","Roles & Responsibilities
Job Description & Requirements

Responsibilities:
-Responsible for technical drawings for electrical designs
-Develop PLC Program and HMI Graphics for projects
-Conduct Testing & Commissioning and Site Acceptance
-Execute 1 or more Automation Projects concurrently

Requirements:
-Diploma/Bachelor Degree in Electrical/Mechatronics
-Knowledge in PLC (Omron NJ) / C++ / C# / ACAD / Microsoft Office
-Preferably with Automation experience"
,,https://www.mycareersfuture.gov.sg/job/information-technology/desktop-engineer-immediate-smart-forte-consulting-2d230bd2c53a13f5ad20da20bb5d64b2?source=MCF&event=Search,,,,,,,,,Jobs,IT Desktop Engineer (BANK)**Immediate,SMART FORTE CONSULTING LLP,Islandwide,Full Time,"$2,700 to to$3,000","Roles & Responsibilities
End user support
Assist in Operating Systems Migration and related support.
Support, troubleshooting, diagnosis of hardware and software problems.
Handle all problems associated to End User Equipment and Software.
Installation of software/application.
Provide accurate and timely documentation in IT Service Management Tool.
Closing all assigned and resolved Incidents; focus on ticket resolution within SLA.
Synchronizing application settings to environment requirement.
Relocation of computer devices and peripherals.
Setting up of the end users profiles for applications.
To guide, update and follow up to end users.
Job Requirements
Diploma in Information Technology, Computer Engineering, Electronics or related field
At least 1 year of relevant experience
Knowledge in IT Hardware
Monday to Friday (9am to 6.30pm) work near Raffles Place MRT
Bank working enviroment
Salary $2700 to $3000
Start work immediately or within short notice
Interested applicants please send in your MS Word resume. Shortlisted candidates will be contacted very soon. Thank you."
,,https://www.mycareersfuture.gov.sg/job/admin/clinic-assistant-recruit-now-singapore-2c987ca7a23a20e9abc81a10bc6db9bc?source=MCF&event=Search,,,,,,,,,Jobs,Clinic Assistant (Basic up to $2600 + PB  /  5 days  /  Central),RECRUIT NOW SINGAPORE PTE. LTD.,North,Permanent ...,"$2,200 to to$2,600","Roles & Responsibilities
Summary:
General Practice Clinic
Basic salary up to $2600
Performance bonus twice a year
Birthday Benefits, PH and OT pay available
Other wellness benefits
Location: Kovan / Potong Pasir
5 days work week (rotating shift), Timing: 8.00 - 4.00pm / 4.00 - 10.00pm
Candidate looking for a jumpstart in healthcare industry welcome to apply!
Career advancement: Senior CA -> Clinic Manager -> Senior Clinic Manager
Proper training and guidance will be provided

Key Responsibilities:
Answer enquiries via phone call, whatsapp or email
Liaise with patients about appointment scheduling
Process prescription and dispense medication to patients accurately
Assist doctors in consultation, examination and etc
Handle financial counselling / cashiering duties
Provide basic patient care services
Any other ad-hoc duties assigned

Key Requirements:
Able to commit shift works and weekends
Bilingual in English and Chinese in order to communicate effectively with Mandarin speaking elderly patients

Your recruiter for this job: Stella
WhatsApp me @ 8772 4117 for a prompt response to your enquiry!
Stella Aw Yong See Hui | R24121552
Recruit Now Singapore Pte Ltd | EA No: 21C0845"
,,https://www.mycareersfuture.gov.sg/job/engineering/electrical-engineer-et-recruit-now-singapore-532696720bcfb36365b3cec57388e7ad?source=MCF&event=Search,,,,,,,,,Jobs,Electrical Engineer ( R&D - 3D CAD Design  /  Microcontroller Boards  ) #ET,RECRUIT NOW SINGAPORE PTE. LTD.,Islandwide,Permanent ...,"$2,600 to to$3,800","Roles & Responsibilities
Job Description:
Utilise 3D CAD design tools and perform high precision 3D printing (FDM & DLP)
Utilise basic microcontrollers boards such as Arduino, ESP32 or STM32 to build simple circuit boards for sensor control and data acquisition
Testing and assembly of electronics and mechanical parts and debugging of software using basic tools like python or C++
Familiar with maintenance of laboratory inventory and laboratory administrative tasks (Procurement, equipment preventive maintenance/repairs and safety matters)
Enthusiastic, highly motivated, able to multitask, with excellent interpersonal and communication skills.
Administrative works, such as ordering and payment with SAP system
Job Requirements:
Min Diploma/Higher Nitec/Nitec holders in Bioengineering, Biophysics, physics, mechatronics, electrical engineering, mechanical engineering, computer engineering or relevant discipline
Basic experience in handling simple electronics and basic hands-on soldering skills
Prior experience or have interest in handling administrative tasks like raising Purchase Orders, payment requests, arranging preventive maintenance of equipment and liaising with vendors.
Basic experience in 3D CAD design software, like Solidworks and Fusion360.
Basic experience with microcontroller boards like Esp32, STM32.
*Please be notified that only shortlisted candidates will be notified*

By submtting your personal data and/or resume, you give consent to the collection, use, and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

EA Personnel Name: Chan Jun Wei
EA Personnel No: R1543992
EA License No: 21C0845"
,,https://www.mycareersfuture.gov.sg/job/admin/%F0%9F%91%A9%F0%9F%8F%BB%E2%80%8D%F0%9F%92%BBpreschool-admin-basic-2500-5-days-ct-recruit-now-singapore-bc31bb3e5418e70b08c3753bd3280309?source=MCF&event=Search,,,,,,,,,Jobs,👩🏻‍💻Preschool Admin | Basic Up To $2500 | 5 Days | CT,RECRUIT NOW SINGAPORE PTE. LTD.,Islandwide,Permanent ...,"$2,000 to to$2,500","Roles & Responsibilities
Salary Package:
- Basic Salary: $2200 - $2500

Working Location: River Valley
Working Hours: 8am-6pm / 8am-7pm

Key Responsibilities:
· Assist daily operations: scheduling, communications, and record-keeping.
· Coordinate events, meetings, and school calendars.
· Full aspect of administrative duties
· Attend to toddlers (if shortage of manpower)
· Adhoc duties

Requirements:
· Min. Education related certification
· Prior experience in Pre-School environment

*Able to start work within short notice will be highly advantageous.*
**Please be notified that only shortlisted candidates will be notified**

By submitting your personal data and/or resume, you give consent to the collection, use, and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

EA Personnel Name: TOH SHIQI
EA Personnel No: R23119083
EA License No: 21C0845"
,,https://www.mycareersfuture.gov.sg/job/admin/%E2%9C%88customer-service-officer-basic-2400-office-hours-ct-recruit-now-singapore-63eeb132cdc8c9c0f29f14dec7bbe32d?source=MCF&event=Search,,,,,,,,,Jobs,✈Customer Service Officer | Basic up to $2400 | Office Hours | CT,RECRUIT NOW SINGAPORE PTE. LTD.,Islandwide,Permanent ...,"$2,000 to to$2,400","Roles & Responsibilities
Salary Package:
- Basic Salary: Up to $2400

Working Location: Changi
Working Hours:
Mon - Fri: 9am – 6pm
Saturday: 9am-1pm

Key Responsibilities:
-Prepare and draft AWBs for customer/agent approval.
-Provide support to assigned customers / Overseas Agents in handling sales quotations, RFI, RFQs and inquiries for air, arrange air export booking with the airlines / co-loader Agents.
-Follow up on clients, help to do air export billing, invoice verification and handle rate disputes
- Coordinate with customers, sales personnel, Overseas Agents and well liaise with operations teams for shipment arrangement

Job Requirements:
-Min. O level and above qualifications
-Proficient in MS Office (Word, Excel, PowerPoint) and data entry.
-Open to candidates with or without prior experience in the Air Freight industry.

*Able to start work within short notice will be highly advantageous.*
**Please be notified that only shortlisted candidates will be notified**

By submitting your personal data and/or resume, you give consent to the collection, use, and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

EA Personnel Name: TOH SHIQI
EA Personnel No: R23119083
EA License No: 21C0845"
,,https://www.mycareersfuture.gov.sg/job/others/%F0%9F%8F%8A%F0%9F%8F%BB%E2%80%8D%E2%99%80swimming-instructor-4000-islandwide-comms-ct-recruit-now-singapore-517d65d70cfeae24b4fa14443d3a1e5c?source=MCF&event=Search,,,,,,,,,Jobs,🏊🏻‍♀Swimming Instructor (Course Sponsored) | Up To $4000 | Islandwide | Comms | CT,RECRUIT NOW SINGAPORE PTE. LTD.,Islandwide,Permanent ...,"$1,800 to to$4,000","Roles & Responsibilities
Salary Package:
- Basic Salary: $2100 - $2400
- Transport Allowances: $500 - $700
- High Commissions

Working Location: Islandwide
Working Hours:
Tue - Fri ( 3pm-7pm)
Sat - Sun (8am-7pm)

Job Responsibilities:
· Provide and nurture children's love of water and swimming
· Manage safety standards and close supervision of children
· Plan and execute lesson plans

Requirements:
· Min. NITEC in any field or equivalent certification
· Prior experience in swimming coach will be an added advantage
· Able to work Weekends and Public Holiday
· No Prior experience but have a passion to join are welcome to apply

*Able to start work within short notice will be highly advantageous.*
**Please be notified that only shortlisted candidates will be notified**

By submitting your personal data and/or resume, you give consent to the collection, use, and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

EA Personnel Name: TOH SHIQI
EA Personnel No: R23119083
EA License No: 21C0845"
,,https://www.mycareersfuture.gov.sg/job/security/%F0%9F%91%AE%F0%9F%8F%BC%E2%80%8D%E2%99%82%EF%B8%8Fauxiliary-police-officer-44k-jb-35k-ct-recruit-now-singapore-a1ced0c0b18c4c054c60963838b6a68c?source=MCF&event=Search,,,,,,,,,Jobs,👮🏼‍♂️Auxiliary Police Officer (Armed / Unarmed ) | Up To $4.4k| JB Up To $35k | CT,RECRUIT NOW SINGAPORE PTE. LTD.,Islandwide,Permanent ...,"$2,700 to to$4,400","Roles & Responsibilities
Company benefits:
· Attractive Joining Bonuses - Up to S$35,000
· Gross Salary: Up to $4400.
· Corporate Benefits (Dental, Medical Consultations, Annual leave (8 + 1 for every additional year, etc.).
· Stable career progression with PWM (Progressive Wage Model where applicable)
· Training Allowance given.

Working Hours: Able to work on rotating shifts (2 Days & 2 Nights).
Working Locations:
· Bedok
· Changi Airport
· Jurong

Salary Package:
- Armed: $3700 - $4400
-Unarmed: $2700 - $3300

Job Responsibilities:
· Access Control & Crowd Control
· Enforcement & VIP Escorting
· Guarding & Patrolling

Working Requirements:
· (Armed) IPPT eligible & Comfortable with firearms
· Be flexible to work both day and night shifts
· Require 3 N Level Credits and above qualifications

Candidates without experience are welcomed to apply! On job training will be provided!

*Able to start work within short notice will be highly advantageous.*
**Please be notified that only shortlisted candidates will be notified**

By submitting your personal data and/or resume, you give consent to the collection, use, and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

EA Personnel Name: TOH SHIQI
EA Personnel No: R23119083
EA License No: 21C0845"
,,https://www.mycareersfuture.gov.sg/job/education-training/%F0%9F%91%A9%F0%9F%8F%BB%E2%80%8D%F0%9F%8F%ABassistant-preschool-teacher-basic-2500-central-5-days-ct-recruit-now-singapore-40efd1e8c1d4861f39c1e1d8b918fa77?source=MCF&event=Search,,,,,,,,,Jobs,👩🏻‍🏫Assistant Preschool Teacher | Basic Up to $2500 | Central | 5 Days | CT,RECRUIT NOW SINGAPORE PTE. LTD.,Islandwide,Permanent ...,"$2,200 to to$2,500","Roles & Responsibilities
Salary Package:
- Basic Salary: $2200-$2500

Working Location: Tampines 1 / Century Square / River Valley / Choa Chu Kang
Working Hours:
Century Square / Choa Chu Kang/ River Valley / Tampines 1
Mon - Fri: 7am-4pm/8am-5pm/8.30am-5.30pm/9am-6pm

Key Responsibilities:
· Assist the Teachers to provide various experiences and activities for children including songs, games and story telling
· Assist to establish routines, provide positive guidance and build children’s esteem

Job Requirements:
· Min. NITEC in any field or equivalent certification
· Have a passion for educating young children
· FECCE or equivalent certification will be an added advantage

*Able to start work within short notice will be highly advantageous.*
**Please be notified that only shortlisted candidates will be notified**

By submitting your personal data and/or resume, you give consent to the collection, use, and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

EA Personnel Name: TOH SHIQI
EA Personnel No: R23119083
EA License No: 21C0845"
,,https://www.mycareersfuture.gov.sg/job/customer-service/%E2%9C%88air-operation-officer-basic-2800-55-days-ct-recruit-now-singapore-0f137a12c30b46d440d18d98f27deca7?source=MCF&event=Search,,,,,,,,,Jobs,✈Air Operation Officer | Basic Up To $2800 | 5.5 Days | CT,RECRUIT NOW SINGAPORE PTE. LTD.,Islandwide,Permanent ...,"$2,200 to to$2,800","Roles & Responsibilities
Salary Package:
- Basic Salary: $2200 - $2800 (depending of experience)

Working Location: Changi
Working Hours:
Mon - Fri: 9am – 6pm
Saturday: 9am-1pm

Key Responsibilities:
-Draft and prepare AWBs for approval, request CIPL, and prepare permits.
-Verify cargo details and update the system.
-Manage documentation (FWB, FHL, permits) and send pre-alerts.
-Coordinate with customers and agents via email.
-Inspect cargo, report discrepancies, and handle billing.
-Pre-declare customs permits and submit shipment details to Singapore Customs.

Job Requirements:
-Min. N level and above qualifications
-Proficiency in MS Office (Word, Excel, PowerPoint), data entry, and handling inquiries/requests.
-Open to candidates with or without prior experience in the Air Freight industry.

Candidates without experience are welcomed to apply! On job training will be provided!

*Able to start work within short notice will be highly advantageous.*
**Please be notified that only shortlisted candidates will be notified**

By submitting your personal data and/or resume, you give consent to the collection, use, and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

EA Personnel Name: TOH SHIQI
EA Personnel No: R23119083
EA License No: 21C0845"
,,https://www.mycareersfuture.gov.sg/job/admin/%E2%9C%88customer-service-officer-basic-2400-office-hours-ct-recruit-now-singapore-f14a3a9993851d6e642019d99e99b10e?source=MCF&event=Search,,,,,,,,,Jobs,✈Customer Service Officer | Basic up to $2400 | Office Hours | CT,RECRUIT NOW SINGAPORE PTE. LTD.,Islandwide,Permanent ...,"$2,000 to to$2,400","Roles & Responsibilities
Salary Package:
- Basic Salary: Up to $2400

Working Location: Changi
Working Hours:
Mon - Fri: 9am – 6pm
Saturday: 9am-1pm

Key Responsibilities:
-Prepare and draft AWBs for customer/agent approval.
-Provide support to assigned customers / Overseas Agents in handling sales quotations, RFI, RFQs and inquiries for air, arrange air export booking with the airlines / co-loader Agents.
-Follow up on clients, help to do air export billing, invoice verification and handle rate disputes
- Coordinate with customers, sales personnel, Overseas Agents and well liaise with operations teams for shipment arrangement

Job Requirements:
-Min. O level and above qualifications
-Proficient in MS Office (Word, Excel, PowerPoint) and data entry.
-Open to candidates with or without prior experience in the Air Freight industry.

*Able to start work within short notice will be highly advantageous.*
**Please be notified that only shortlisted candidates will be notified**

By submitting your personal data and/or resume, you give consent to the collection, use, and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

EA Personnel Name: TOH SHIQI
EA Personnel No: R23119083
EA License No: 21C0845"
,,https://www.mycareersfuture.gov.sg/job/security/%F0%9F%91%AE%F0%9F%8F%BC%E2%80%8D%E2%99%82%EF%B8%8Fauxiliary-police-officer-44k-jb-35k-ct-recruit-now-singapore-9b823253a2bf0252a8276ccfe329dcbd?source=MCF&event=Search,,,,,,,,,Jobs,👮🏼‍♂️Auxiliary Police Officer (Armed / Unarmed ) | Up To $4.4k| JB Up To $35k | CT,RECRUIT NOW SINGAPORE PTE. LTD.,Islandwide,Permanent ...,"$2,700 to to$4,400","Roles & Responsibilities
Company benefits:
· Attractive Joining Bonuses - Up to S$35,000
· Gross Salary: Up to $4400.
· Corporate Benefits (Dental, Medical Consultations, Annual leave (8 + 1 for every additional year, etc.).
· Stable career progression with PWM (Progressive Wage Model where applicable)
· Training Allowance given.

Working Hours: Able to work on rotating shifts (2 Days & 2 Nights).
Working Locations:
· Bedok
· Changi Airport
· Jurong

Salary Package:
- Armed: $3700 - $4400
-Unarmed: $2700 - $3300

Job Responsibilities:
· Access Control & Crowd Control
· Enforcement & VIP Escorting
· Guarding & Patrolling

Working Requirements:
· (Armed) IPPT eligible & Comfortable with firearms
· Be flexible to work both day and night shifts
· Require 3 N Level Credits and above qualifications

Candidates without experience are welcomed to apply! On job training will be provided!

*Able to start work within short notice will be highly advantageous.*
**Please be notified that only shortlisted candidates will be notified**

By submitting your personal data and/or resume, you give consent to the collection, use, and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

EA Personnel Name: TOH SHIQI
EA Personnel No: R23119083
EA License No: 21C0845"
,,https://www.mycareersfuture.gov.sg/job/admin/purchasing-executive-ctes-consulting-a9895c54c3a5d1caeb1b2ea724b4085c?source=MCF&event=Search,,,,,,,,,Jobs,Purchasing Executive,CTES CONSULTING PTE. LTD.,Central,Permanent,"$2,500 to to$2,700","Roles & Responsibilities
Responsibilities:
Reports to Deputy General Manager and Engineering Admin Manager.
Issue and process purchase order
File and maintain records of purchase orders
Order, replenish and manage office stationery supplies and inventory.
Performs administrative functions and support to Engineering Admin team
Perform other duties as assigned.
Ability to work independently and as part of a team
Requirements:
GCE ‘O’ / ‘A’ / Diploma or equivalent
Strong in Microsoft word and excel application.
Knowledge of Microsoft Dynamic 365 Business Central is an added advantage.
Open to Fresh Diploma Graduate
Meticulous and able to work independently yet am a good team player
Positive attitude and willingness to learn"
,,https://www.mycareersfuture.gov.sg/job/accounting/%F0%9F%A7%BEjunior-bookkeeper-3000-west-office-hours-ct-recruit-now-singapore-a6bb3cab4577be7113e743381e756e9f?source=MCF&event=Search,,,,,,,,,Jobs,🧾Junior Bookkeeper | Up To $3000 | WEST | Office Hours | CT,RECRUIT NOW SINGAPORE PTE. LTD.,Islandwide,Permanent ...,"$2,500 to to$3,000","Roles & Responsibilities
Basic salary: $2500 - $3000

Working Hours:
Mon - Fri: 8.30am - 5.30pm

Key Responsibility:
-Process invoices, payments, and accounting transactions accurately and on time.
-Manage stock inventories, perform monthly stock takes, and reconcile stock.
-Prepare GST tax computations.
-Reconcile bank statements and maintain financial records.
-Assist in preparing monthly and annual financial reports.
-Prepare audit and fixed asset schedules.

Requirement:
-1-2 years of experience in accounting or finance.
-Proficient in accounting software and Microsoft Office.
-Relevant accounting qualifications.

*Able to start work within short notice will be highly advantageous.*
**Please be notified that only shortlisted candidates will be notified**

By submitting your personal data and/or resume, you give consent to the collection, use, and disclosure of your personal data and/or resume by the company (or its agent) for the purpose of the processing and administration by the company relating to this job application.

EA Personnel Name: TOH SHIQI
EA Personnel No: R23119083
EA License No: 21C0845"
